대여소_ID,위도,경도,학교_500m,공원_500m,지하철_500m,대학교_500m,버스정류장_500m,cluster
ST-555,37.581097,126.924026,3,6,0,2,28,1
ST-43,37.559864,126.934418,1,1,0,0,20,2
ST-42,37.562382,126.932648,0,0,0,0,15,2
ST-41,37.560009,126.940735,2,3,0,0,22,0
ST-40,37.559177,126.934525,1,1,1,0,19,2
ST-39,37.556812,126.943184,2,3,1,0,16,2
ST-37,37.559227,126.939842,1,3,0,0,27,0
ST-36,37.557892,126.93808,2,3,1,0,26,0
ST-354,37.563908,126.964973,4,1,2,2,36,1
ST-352,37.56612,126.925896,1,1,0,0,16,2
ST-351,37.567657,126.917809,0,3,1,0,12,2
ST-350,37.577316,126.902969,0,0,1,0,8,2
ST-35,37.582031,126.908997,1,2,0,0,17,2
ST-349,37.579876,126.906349,1,2,1,0,11,2
ST-348,37.572227,126.923065,2,5,0,0,20,0
ST-347,37.578892,126.910736,1,4,0,0,23,0
ST-346,37.586388,126.935127,1,2,0,0,27,0
ST-345,37.577637,126.909653,2,3,0,0,18,0
ST-3349,37.580269,126.93425,4,1,0,0,33,0
ST-3347,37.563259,126.930244,0,0,0,0,13,2
ST-33,37.584171,126.911102,0,2,0,0,18,2
ST-3202,37.562336,126.969093,0,1,1,0,12,2
ST-3140,37.556877,126.936035,1,3,1,0,22,2
ST-3139,37.57914,126.934509,3,3,0,0,33,0
ST-3114,37.577168,126.929062,1,5,0,0,22,0
ST-3113,37.576019,126.926834,2,4,0,0,21,0
ST-3107,37.559425,126.963058,2,1,1,0,16,2
ST-3062,37.563557,126.928276,1,0,0,0,17,2
ST-3051,37.56599,126.966072,2,1,1,2,31,1
ST-3033,37.576756,126.928276,0,4,0,0,24,0
ST-3027,37.561848,126.964149,3,1,2,1,32,1
ST-30,37.555496,126.93634,1,3,1,0,14,2
ST-2897,37.575043,126.917366,1,9,0,0,22,0
ST-2561,37.601696,126.949165,1,2,0,1,11,2
ST-25,37.59433,126.947388,2,5,0,1,42,0
ST-233,37.559967,126.962463,3,1,1,0,19,2
ST-232,37.568775,126.915298,0,4,1,0,13,2
ST-231,37.578068,126.930885,2,5,0,0,31,0
ST-230,37.564777,126.966148,4,1,1,2,29,1
ST-228,37.564724,126.967278,0,1,1,1,24,2
ST-227,37.573112,126.922447,3,3,0,0,28,0
ST-226,37.573002,126.907799,1,2,0,0,8,2
ST-224,37.57946,126.91713,2,6,0,0,26,0
ST-223,37.573818,126.919235,2,6,0,0,21,0
ST-222,37.575138,126.91394,2,6,0,0,17,0
ST-2219,37.561317,126.966583,2,1,2,0,27,2
ST-2217,37.591862,126.944214,1,3,1,0,34,0
ST-2216,37.572159,126.921188,2,6,0,0,24,0
ST-2215,37.574551,126.918266,2,7,0,0,25,0
ST-2214,37.576263,126.911324,2,4,0,0,14,0
ST-2213,37.581318,126.935997,4,0,0,0,27,0
ST-2212,37.583336,126.936287,2,1,0,0,30,0
ST-2210,37.575642,126.927826,1,4,0,0,21,0
ST-221,37.574478,126.910049,2,4,0,0,15,0
ST-2208,37.572254,126.9151,1,5,1,0,24,0
ST-2207,37.574284,126.906464,2,1,1,0,11,2
ST-2206,37.570652,126.912987,1,3,1,0,13,2
ST-2205,37.569836,126.918091,0,5,1,0,20,2
ST-2204,37.565197,126.929855,1,1,0,0,22,2
ST-2202,37.564068,126.945328,0,0,0,1,10,2
ST-2201,37.555504,126.937202,1,3,1,0,15,2
ST-2200,37.561455,126.95575,3,6,0,1,21,0
ST-220,37.583698,126.924965,2,3,0,2,26,1
ST-2199,37.572205,126.959747,0,1,1,0,27,2
ST-2198,37.560463,126.965523,2,1,1,0,24,2
ST-2196,37.582211,126.950165,2,2,1,0,11,2
ST-2195,37.589283,126.936943,1,1,0,0,30,0
ST-2194,37.592934,126.941292,0,2,1,0,27,2
ST-219,37.566261,126.946671,0,0,0,1,11,2
ST-218,37.582245,126.950645,2,1,1,0,11,2
ST-217,37.557549,126.959381,1,2,1,0,18,2
ST-216,37.556953,126.946342,2,1,1,0,16,2
ST-17,37.59116,126.94133,1,2,1,0,29,2
ST-1493,37.597149,126.93853,0,1,0,0,11,2
ST-1491,37.5867,126.94677,2,2,1,1,22,1
ST-12,37.558933,126.927116,0,0,1,0,3,2
ST-1190,37.567997,126.931656,1,3,0,0,20,0
ST-1189,37.578381,126.936096,3,2,0,0,29,0
ST-1188,37.557396,126.952164,3,5,0,0,17,0
